Image,Offer,Unnamed: 2,Link,Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Samsung Axis Bank Infinite Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Samsung Axis Bank Signature Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank SpiceJet Voyage Black Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Atlas Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,SpiceJet Axis Bank Voyage Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Select Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Privilege Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Infinite Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Magnus Credit Card
https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2024/Oct/e65d9c8128a9060440045f4efb119d6c.jpg,"Up to 40% OFF (upto Rs.6,000)",,https://www.yatra.com/offer/details/axis-bank-emi-offers,Axis Bank Vistara Signature Credit Card
