Website,Link,Applicable Credit Cards,Applicable Debit Cards,Offer,Image
Cleartrip,https://www.cleartrip.com/all-offers/federal-bank-credit-debit-cards-hotels-offer/,All Federal Bank Credit Cards,"RuPay PMJDY Debit Card



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Flat 24% off on hotels with Federal Bank,"https://www.federalbank.co.in/documents/10180/21778473/rupay-card.jpg/d23c4b53-f7ba-25d2-3f71-6118dd9adc48?t=1736936762443




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","ICICI Bank Wealth Select Visa Infinite Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/wealth-visa-infinite-card-t.jpg
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","ICICI Bank Wealth Management World Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/world-debit-card.gif
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Family Debit Card
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/titanium-family-debit.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Platinum Chip Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/Plat_chip_image.gif

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Titanium Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/card_titanium.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Woman's Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/card_women.jpg
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Smart Shopper Silver Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/silver-debit-card-d.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Smart Shopper Silver Debit Card(New)

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/card-SmartShopper-silver-new.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","NRE Debit Card

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/NRE.jpg























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","NRO Debit Card
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/NRO.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Senior Citizen Gold

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/Senior_Citizen_gold.jpg
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Senior Citizen Silver
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/Senior_Citizen_Silver.jpg

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
ixigo,https://www.ixigo.com/offers/icicidc-hotels-web,"ICICI Bank Times Black Credit Card, MakeMyTrip ICICI Bank Credit Card, Adani One ICICI Platinum Credit Card, Adani One ICICI Signature Credit Card, ICICI HPCL Coral Credit Card,  ICICI Parakram Select Credit Card, ICICI Parakram Credit Card, Skywards ICICI Bank Emerald Credit Card, ICICI Bank Instant Platinum Credit Card, Skywards ICICI Bank Sapphiro Credit Card, MakeMyTrip ICICI Bank Signature Credit Card, Accelero ICICI Bank Credit Card, MakeMyTrip ICICI Bank Platinum Credit Card, Chennai Super Kings ICICI Bank Credit Card, ICICI Manchester United Signature Credit Card, ICICI Manchester United Platinum Credit Card, Expressions Credit Card, Platinum Chip Credit Card, ICICI Bank HPCL Super Saver Credit Card, ICICI Bank Emeralde Credit Card, ICICI Bank Rubyx Credit Card, ICICI Bank Coral Credit Card, ICICI Bank Sapphiro Credit Card","Young Stars Debit Card
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",Get Flat Rs 1200 Off On Hotels with ICICI Bank Debit Cards,"https://www.icicibank.com/content/dam/icicibank/icici-assets/personal-banking/Young_Stars.jpg
























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































"
