Serial Number,Credit Card Name,Credit Card Image,Hotel Benefit
16,Psb Sbi Card Elite,"https://static.wixstatic.com/media/f836e8_1479670962f641409cf8df1a6d0145f8~mv2.webp/v1/fill/w_254,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/PSB%20SBI%20Card%20Elite%20(1).webp","Welcome Benefit:  Users will get a welcome gift voucher worth INR 5,000 from any of the following brands: Bata/Hush Puppies, Aditya Birla Fashion, Pantaloons, Shoppers Stop and Yatra"
17,Doctor'S Sbi Card (In Association With Ima),"https://static.wixstatic.com/media/f836e8_61c8c365b3c849a1929fab84574e13ca~mv2.png/v1/fill/w_266,h_169,al_c,lg_1,q_85,enc_avif,quality_auto/Doctor's%20SBI%20Card.png","1,500 from Yatra; Milestone Benefit: Users will get a gift voucher from Yatra"
18,Simplyclick Advantage Sbi Card,"https://static.wixstatic.com/media/f836e8_d2593645c32a4dd3ab935b4856fca7e0~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Simplyclick%20Advantage%20SBI%20Card%20(1).webp",Reward System: 10 point on spend of every INR 100 on Apollo 24x7/BookMyShow/ Cleartrip/ Dominos/ Myntra/ Netmeds/ Swiggy/ Yatra
19,Aditya Birla Sbi Card,"https://static.wixstatic.com/media/f836e8_3b9c7c16a6994c04b472728ac5fe2283~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Aditya%20Birla%20SBI%20Card%20(1)%20(1).webp",Effective dining/entertainment/hotel cashback rate: 1
20,6E Rewards Xl - Indigo Hdfc Bank Credit Card,"https://static.wixstatic.com/media/2a565f_41a8e745e6e24f68aadf0155382a9f24~mv2.webp/v1/fill/w_66,h_42,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/Indigo-6ERewardsXL.webp",Accor hotel vouchers worth Rs
21,Uco Bank Sbi Card Prime,"https://static.wixstatic.com/media/f836e8_a1d7f925afb74615be720f4713ff343b~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/UCO%20SBI%20Card%20Prime.webp","Welcome Benefit: Users will get a voucher worth INR 3,000 from &nbsp;one of the following brands: Bata/Hush Puppies, Pantaloons,&nbsp;Aditya Birla Fashion, Shoppers Stop and Yatra; Gift voucher worth INR 7,000 from Yatra"
22,Tata Card Select,"https://static.wixstatic.com/media/2a565f_047ab264ceee46d0850d6f027f64e56b~mv2.webp/v1/fill/w_489,h_305,al_c,lg_1,q_80,enc_avif,quality_auto/tata-platinum-card.webp","3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Aditya Birla Fashion,and &nbsp;Westside"
23,Hsbc Travelone Mastercard Credit Card,https://www.hsbc.co.in/content/dam/hsbc/in/images/16-9/15957-hsbc-travelone-credit-t1-front-1280x720.jpg,"Welcome benefit:  Users must download and log on to the HSBC India Mobile Banking app and spend INR10,000 within the first 30 days of openingtheir credit card account to get INR1,000 cashback, the Postcard Hotel voucher worth INR 3,000 and 3 months EazyDiner prime membership; Cardholders will save 15% on domestic and international holiday Bookings at Yatra, EaseMyTrip, PayTM Travel and ClearTrip"
24,Icici Bank Emeralde Credit Card,"https://static.wixstatic.com/media/2a565f_4977b5cc27504d9a97abcb0d446c4a97~mv2.webp/v1/fill/w_576,h_273,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ICICI%20Emerald.webp","Travel perks:  Benefit from low mark-up fees on foreign currency transactions, reduced APR on ATM cash withdrawals abroad, complimentary travel insurance, and airport transfers (on specific spends), and no cancellation charges on domestic travel and hotel bookings"
25,Tata Platinum Card Select,"https://static.wixstatic.com/media/f836e8_610fe482a1854fd989b49fab8e45e3ca~mv2.webp/v1/fill/w_266,h_169,al_c,lg_1,q_80,enc_avif,quality_auto/Tata%20Card%20Select.webp","Welcome Benefit: Users will get a gift voucher worth INR 3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Aditya Birla Fashion, and Westside; Milestone Benefits: Users will get gift vouchers worth INR 3,000 from any of the following brands: Yatra, Hush Puppies / Bata, Westside,&nbsp;Aditya Birla Retail"
